zip,path_in_zip,size_bytes,extension,category,decision,reasons,sha256
Source - 2.zip,Source/assets/panels/panel_graphite_64px.png,2365,.png,images,keep,,364fc2193405689708c7ebe109e55fc61ab7da4bf95571db1646cb8c0d8939a8
Source - 2.zip,Source/assets/panels/panel_teal_128px.png,9327,.png,images,keep,,c16453533ec846df3abf9e61f342c3c55b8655cb799b37e1fbe59d92cc7c9810
Source - 2.zip,Source/assets/panels/panel_teal_256px.png,50935,.png,images,keep,,ab7c80584a37e21f59978b1ef76ba56659fac1287afa8db0cddaf2b0cfcade5b
Source - 2.zip,Source/assets/panels/panel_teal_64px.png,2294,.png,images,keep,,d3a1257bd1563bf1e8318ec595ccece217159d1fe89c4d3c3b06c0ad4f8ae36a
Source - 2.zip,Source/assets/sprite_index.txt,1238,.txt,docs,keep,,0b91b9197c3962f3d8249d40ef420da5f6dc4d1bcb67215a3c26f8c55b86ed12
Source - 2.zip,Source/assets/toggle/toggle_20px.png,939,.png,images,keep,,d927235479e91ea6362b242230db9e1d603e79b898f14ca7d5547ad7725ac2e8
Source - 2.zip,Source/assets/toggle/toggle_24px.png,1241,.png,images,keep,,1c4b9efc9164f0dadd2d0ce531234e525b74e21f83dad1a9e573fc8d6fb903c9
Source - 2.zip,Source/assets/toggle/toggle_28px.png,1587,.png,images,keep,,04661c68ca1cecc433eaec0b18a0eab114649f2fde1a068cb352433d73faefbe
Source - 2.zip,Source/CanvasPanel.h,1106,.h,code/config,keep,,2151fa017ca072f859e7057a42df4e1f22f24578dbe5ffb38d17260cae0aeb67
Source - 2.zip,Source/ColorToSpectralMapper.h,16441,.h,code/config,keep,,530af1f0d2e61a10125724f1f4043aacd0182bc78ebb092ed5af685b026a5c64
Source - 2.zip,Source/CommandLinePanel.cpp,22528,.cpp,code/config,keep,,6a60dce3952d7c1a536d6c92a2573ef235e77f16ee563007510da3494979eb01
Source - 2.zip,Source/CommandLinePanel.h,7354,.h,code/config,keep,,499996a7dc43c4432ad006e1a88fd48aacf5bb6b10ba35e64f36b7d899eb32c3
Source - 2.zip,Source/CommandQueue.h,8636,.h,code/config,keep,,2f628f019001ec94717ea401443544f8270bfcc5ffa97681d50070f03c9e6eaf
Source - 2.zip,Source/Commands.h,9076,.h,code/config,keep,,ac328c1fea226c11479955b0533c4b0f717c7e1b8d5908c7c76dbbcd74763b26
Source - 2.zip,Source/Core/AtlasIds.h,310,.h,code/config,keep,,5607ea90592d1f978489167f3f8a51eb65c149776b65d9707e0756ae80dc8aeb
Source - 2.zip,Source/Core/AudioPathId.h,811,.h,code/config,keep,,dc3c71371118018b594f5117558c2d30d3d63288dce4598b35da8159d49ef21b
Source - 2.zip,Source/Core/AudioRecorder.cpp,19867,.cpp,code/config,keep,,d6a2f3cc0ea2b9216b095970d8a5d23ad8616891e28f56571eb7015a67113cb8
Source - 2.zip,Source/Core/AudioRecorder.h,6781,.h,code/config,keep,,688b39a091d3c830ae0d37f452b757f45ce21dc45435095cd37094680d6e17f7
Source - 2.zip,Source/Core/BuildInfo.h,385,.h,code/config,keep,,6971c60e28603858008d47e4727180d26bec0e333c2445bbe43eceb7eb6bccd8
